accuracy,active_nodes,actual_client_rate,actual_data_rate,aggregator_node,avg_bandwidth_mbps,batches_processed,client_sampling_rate,communication_savings_percent,computation_type,current_epoch,data_sampling_rates,epochs_completed,event_type,loss,metrics,network_density,node_id,node_type_distribution,num_active_nodes,num_nodes,num_participating_nodes,num_sampled_clients,num_source_nodes,num_target_nodes,num_updated_nodes,organizational_entities,param_convergence,param_summary,participating_nodes,resource_efficiency_score,round_completion_time,round_num,sampled_clients,sampled_clients_count,sampled_data_points,samples_processed,source_nodes,step_name,strategy_name,target_nodes,throughput_samples_per_sec,time_per_client,time_taken,timestamp,topology_type,total_clients,total_clients_involved,total_communication_bytes,total_computation_time,total_cpu_cores,total_data_points,total_edges,total_epochs,total_gpus,total_memory_gb,updated_nodes
,,,,10,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"10,9,11",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8296704,,,,,,,,,,,,
,,,,11,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"11,10,12",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.829684,,,,,,,,,,,,
,,,,12,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"12,11,13",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8296957,,,,,,,,,,,,
,,,,13,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"13,12,14",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8297079,,,,,,,,,,,,
,,,,14,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"14,13,15",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8297195,,,,,,,,,,,,
,,,,15,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"15,14,16",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8297565,,,,,,,,,,,,
,,,,16,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"16,15,17",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.82977,,,,,,,,,,,,
,,,,17,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"17,16,18",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8297822,,,,,,,,,,,,
,,,,18,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"18,17,19",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8297944,,,,,,,,,,,,
,,,,19,,,,,,,,,AggregationEvent,,,,,,,,3,,,,,,,,"19,18,0",,,1,,,,,,aggregation,GossipAvg,,,,,1753359830.8298068,,,,,,,,,,,,
,,,,,,,,,,,,,ModelUpdateEvent,,,,,,,,,,,,20,,28.165839208776667,,,,,1,,,,,,model_update,,,,,,1753359831.5361567,,,,,,,,,,,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19"
0.5197,,,,,,,,,,,,,EvaluationEvent,3.583765041732788,"{'loss': 3.583765041732788, 'accuracy': 0.5197}",,,,,,,,,,,,,,,,,1,,,,,,evaluation,,,,,,1753359832.099244,,,,,,,,,,,,
,,,,,,,,60.0,,,,,ResourceSummaryEvent,,,,,,,,,,,,,,,,,0.055020719761387886,9.44553256034851,1,,8,,,,resource_resource_summary,,,,1.1806915700435638,,1753359832.0993214,,,20,67534400,0,,,,,,,
,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",,,,,,,,,,,,LocalTrainingEvent,,{},,,,20,,,,,,,,,,,,,2,,,,,,local_training,,,,,,1753359832.1046438,,,,,,,,,3,,,
,,0.4,,,,,0.4,,,,"{16: 1.0, 18: 1.0, 17: 1.0, 0: 1.0, 15: 1.0, 11: 1.0, 9: 1.0, 8: 1.0}",,SamplingEvent,,,,,,,,,8,,,,,,,,,,2,"[16, 18, 17, 0, 15, 11, 9, 8]",,,,,resource_sampling,,,,,,1753359832.1048868,,20,,,,,,,,,,
,,,,,,0,,,training,,,0,ComputationTimeEvent,,,,-1,,,,,,,,,,,,,,,2,,,,0,,resource_computation_time,,,,,7.827211856842041,1753359839.931938,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{0: {'norm': 4.659239768981934, 'mean': 0.006959539372473955, 'std': 0.2744601368904114}}",,,,2,,,,,0,parameter_transfer,,"19,1",,,,1753359840.1425214,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{1: {'norm': 3.943117618560791, 'mean': 0.014577114023268223, 'std': 0.23189271986484528}}",,,,2,,,,,1,parameter_transfer,,"0,2",,,,1753359840.1425972,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{2: {'norm': 3.473724126815796, 'mean': -0.0016709895571693778, 'std': 0.20468434691429138}}",,,,2,,,,,2,parameter_transfer,,"1,3",,,,1753359840.1426358,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{3: {'norm': 3.669858694076538, 'mean': -0.0005855949129909277, 'std': 0.21624770760536194}}",,,,2,,,,,3,parameter_transfer,,"2,4",,,,1753359840.142668,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{4: {'norm': 3.734278678894043, 'mean': -1.6720345229259692e-05, 'std': 0.22004449367523193}}",,,,2,,,,,4,parameter_transfer,,"3,5",,,,1753359840.1426978,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{5: {'norm': 3.3973519802093506, 'mean': -0.008356677368283272, 'std': 0.20001639425754547}}",,,,2,,,,,5,parameter_transfer,,"4,6",,,,1753359840.1428668,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{6: {'norm': 3.54451584815979, 'mean': 0.0055961012840271, 'std': 0.20878760516643524}}",,,,2,,,,,6,parameter_transfer,,"5,7",,,,1753359840.1428976,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{7: {'norm': 3.6430673599243164, 'mean': 0.010697193443775177, 'std': 0.21440312266349792}}",,,,2,,,,,7,parameter_transfer,,"6,8",,,,1753359840.1429248,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{8: {'norm': 4.300236701965332, 'mean': 0.025555606931447983, 'std': 0.25210192799568176}}",,,,2,,,,,8,parameter_transfer,,"7,9",,,,1753359840.1429508,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{9: {'norm': 4.121995449066162, 'mean': 0.03237397223711014, 'std': 0.24072372913360596}}",,,,2,,,,,9,parameter_transfer,,"8,10",,,,1753359840.1429768,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{10: {'norm': 3.479389190673828, 'mean': -0.00015725381672382355, 'std': 0.20502491295337677}}",,,,2,,,,,10,parameter_transfer,,"9,11",,,,1753359840.1430044,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{11: {'norm': 4.126307487487793, 'mean': -0.011623097583651543, 'std': 0.24286700785160065}}",,,,2,,,,,11,parameter_transfer,,"10,12",,,,1753359840.1430314,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{12: {'norm': 3.3450767993927, 'mean': -0.008805000223219395, 'std': 0.19691379368305206}}",,,,2,,,,,12,parameter_transfer,,"11,13",,,,1753359840.143103,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{13: {'norm': 3.327334403991699, 'mean': -0.010486714541912079, 'std': 0.19578440487384796}}",,,,2,,,,,13,parameter_transfer,,"12,14",,,,1753359840.1431367,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{14: {'norm': 3.3731021881103516, 'mean': 0.001473469426855445, 'std': 0.19875650107860565}}",,,,2,,,,,14,parameter_transfer,,"13,15",,,,1753359840.1431706,,,,,,,,,,,,
,,,,,,,,,,,,,ParameterTransferEvent,,,,,,,,,,1,2,,,,"{15: {'norm': 4.196649074554443, 'mean': 0.02311093918979168, 'std': 0.246207594871521}}",,,,2,,,,,15,parameter_transfer,,"14,16",,,,1753359840.1431992,,,,,,,,,,,,
