experiment_id,dataset,attack_strategy,fl_type,topology,node_count,dp_enabled,dp_epsilon,dp_privacy_level,attack_success,confidence_score,best_attack_type,comm_pattern_score,param_magnitude_score,topology_structure_score,topology_vulnerability,communication_complexity,dp_protection_effective,signal_strength_with_dp,size_category,attack_scalability_score,runtime_seconds
41,mnist,sensitive_groups,federated,star,10,True,4.0,strong_dp,True,0.9,Communication Pattern Attack,0.9,0.0012683566524757926,0.5856261730524793,0.9,9,False,0.9,medium,0.9900000000000001,36.4597110748291
42,mnist,sensitive_groups,federated,complete,10,True,4.0,strong_dp,True,0.9,Communication Pattern Attack,0.9,0.002099802178539,0.3762605620743166,0.9,45,False,0.9,medium,0.9900000000000001,34.257757902145386
43,mnist,sensitive_groups,decentralized,ring,10,True,4.0,strong_dp,True,0.7,Communication Pattern Attack,0.7,0.0011916566359993512,0.4928217311127679,0.7,10,False,0.7,medium,0.77,36.63115453720093
44,mnist,sensitive_groups,decentralized,complete,10,True,4.0,strong_dp,True,0.9,Communication Pattern Attack,0.9,0.0013761813154174914,0.056259352428666504,0.9,45,False,0.9,medium,0.9900000000000001,36.83125042915344
45,mnist,sensitive_groups,decentralized,line,10,True,4.0,strong_dp,True,0.7,Communication Pattern Attack,0.7,0.0021633141314701845,0.2746576682230436,0.7,9,False,0.7,medium,0.77,34.71846795082092
46,mnist,sensitive_groups,federated,star,10,True,1.0,very_strong_dp,True,0.9,Communication Pattern Attack,0.9,0.0027178034852367522,0.22980106810476172,0.9,9,False,0.9,medium,0.9900000000000001,32.52147841453552
47,mnist,sensitive_groups,federated,complete,10,True,1.0,very_strong_dp,True,0.9,Communication Pattern Attack,0.9,0.0014500623620766681,0.44222600003032386,0.9,45,False,0.9,medium,0.9900000000000001,32.04352378845215
48,mnist,sensitive_groups,decentralized,ring,10,True,1.0,very_strong_dp,True,0.7331205723971576,Topology Structure Attack,0.7,0.0028621785748463957,0.7331205723971576,0.7331205723971576,10,False,0.7331205723971576,medium,0.8064326296368733,34.00500726699829
49,mnist,sensitive_groups,decentralized,complete,10,True,1.0,very_strong_dp,True,0.9,Communication Pattern Attack,0.9,0.0018975175249835493,0.4311660571195892,0.9,45,False,0.9,medium,0.9900000000000001,34.30763554573059
50,mnist,sensitive_groups,decentralized,line,10,True,1.0,very_strong_dp,True,0.7,Communication Pattern Attack,0.7,0.0034054825696544747,0.46539342226701835,0.7,9,False,0.7,medium,0.77,32.693191051483154
51,mnist,sensitive_groups,federated,star,15,False,,no_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0003252171452573241,0.7730391330219487,0.9333333333333333,14,True,0.0,large,1.1199999999999999,27.90877914428711
52,mnist,sensitive_groups,federated,complete,15,False,,no_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0004932298718200283,0.4324116529609121,0.9333333333333333,105,True,0.0,large,1.1199999999999999,27.92801809310913
53,mnist,sensitive_groups,decentralized,ring,15,False,,no_dp,True,0.8,Communication Pattern Attack,0.8,0.009158251208465628,0.5782639332389098,0.8,15,True,0.0,large,0.96,29.53631591796875
54,mnist,sensitive_groups,decentralized,complete,15,False,,no_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.01152451885691114,0.5336809945889502,0.9333333333333333,105,True,0.0,large,1.1199999999999999,33.905550718307495
55,mnist,sensitive_groups,decentralized,line,15,False,,no_dp,True,0.8,Communication Pattern Attack,0.8,0.00913421044753734,0.5630246711795761,0.8,14,True,0.0,large,0.96,28.285566568374634
56,mnist,sensitive_groups,federated,star,15,True,16.0,weak_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0010546829138949202,0.23035603613845762,0.9333333333333333,14,False,0.9333333333333333,large,1.1199999999999999,37.47967338562012
57,mnist,sensitive_groups,federated,complete,15,True,16.0,weak_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0005971016909159242,0.4190681256827321,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,39.03789687156677
58,mnist,sensitive_groups,decentralized,ring,15,True,16.0,weak_dp,True,0.8,Communication Pattern Attack,0.8,0.0005626665274445406,0.38650467956754125,0.8,15,False,0.8,large,0.96,38.52391958236694
59,mnist,sensitive_groups,decentralized,complete,15,True,16.0,weak_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0005734295867797489,0.033667640635412374,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,43.45309257507324
60,mnist,sensitive_groups,decentralized,line,15,True,16.0,weak_dp,True,0.8,Communication Pattern Attack,0.8,0.0007508087645946313,0.31805482179379685,0.8,14,False,0.8,large,0.96,38.52990365028381
61,mnist,sensitive_groups,federated,star,15,True,8.0,medium_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0010171992091034584,0.17446538502984613,0.9333333333333333,14,False,0.9333333333333333,large,1.1199999999999999,37.458563804626465
62,mnist,sensitive_groups,federated,complete,15,True,8.0,medium_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0010534051647346407,0.42667733523054063,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,36.45993185043335
63,mnist,sensitive_groups,decentralized,ring,15,True,8.0,medium_dp,True,0.8,Communication Pattern Attack,0.8,0.0010405855943836527,0.11586083744924541,0.8,15,False,0.8,large,0.96,38.75070667266846
64,mnist,sensitive_groups,decentralized,complete,15,True,8.0,medium_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0010302271099891477,0.6277812180867304,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,41.51855516433716
65,mnist,sensitive_groups,decentralized,line,15,True,8.0,medium_dp,True,0.8,Communication Pattern Attack,0.8,0.0011059946642545094,0.24653387497172194,0.8,14,False,0.8,large,0.96,38.47127842903137
66,mnist,sensitive_groups,federated,star,15,True,4.0,strong_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0013117186104141738,0.3174302435778702,0.9333333333333333,14,False,0.9333333333333333,large,1.1199999999999999,35.284005641937256
67,mnist,sensitive_groups,federated,complete,15,True,4.0,strong_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0013422130264100053,0.4863808115097651,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,36.99001407623291
68,mnist,sensitive_groups,decentralized,ring,15,True,4.0,strong_dp,True,0.8,Communication Pattern Attack,0.8,0.0015481367782076952,0.19901484036308487,0.8,15,False,0.8,large,0.96,36.33446383476257
69,mnist,sensitive_groups,decentralized,complete,15,True,4.0,strong_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.0010790971648930797,0.6638475332213347,0.9333333333333333,105,False,0.9333333333333333,large,1.1199999999999999,39.82722997665405
70,mnist,sensitive_groups,decentralized,line,15,True,4.0,strong_dp,True,0.8,Communication Pattern Attack,0.8,0.0007928111828519647,0.11688323153025693,0.8,14,False,0.8,large,0.96,37.12359023094177
71,mnist,sensitive_groups,federated,star,15,True,1.0,very_strong_dp,True,0.9333333333333333,Communication Pattern Attack,0.9333333333333333,0.002603497345526917,0.5744956502297963,0.9333333333333333,14,False,0.9333333333333333,large,1.1199999999999999,32.64742350578308
