Dataset,FL Type,Topology,Nodes,DP,Epsilon,Attack Strategy,Attack Success,Confidence,Best Attack Type
MNIST,Decentralized,Complete,10,Yes,8.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,8.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,4.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,4.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,4.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,Yes,4.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,4.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,10,Yes,1.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Federated,Complete,10,Yes,1.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Ring,10,Yes,1.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Decentralized,Complete,10,Yes,1.0,Imbalanced Sensitive,Yes,0.900,Communication Pattern Attack
MNIST,Decentralized,Line,10,Yes,1.0,Imbalanced Sensitive,Yes,0.700,Communication Pattern Attack
MNIST,Federated,Star,15,No,,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Federated,Complete,15,No,,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Ring,15,No,,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Complete,15,No,,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Line,15,No,,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,15,Yes,16.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Federated,Complete,15,Yes,16.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Ring,15,Yes,16.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Complete,15,Yes,16.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Line,15,Yes,16.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,15,Yes,8.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Federated,Complete,15,Yes,8.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Ring,15,Yes,8.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Complete,15,Yes,8.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Line,15,Yes,8.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Federated,Star,15,Yes,4.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Federated,Complete,15,Yes,4.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Ring,15,Yes,4.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
MNIST,Decentralized,Complete,15,Yes,4.0,Imbalanced Sensitive,Yes,0.933,Communication Pattern Attack
MNIST,Decentralized,Line,15,Yes,4.0,Imbalanced Sensitive,Yes,0.800,Communication Pattern Attack
